epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,5664.86,0.61482,0.76956,1.21249,0.86101,0.76341,0.85378,0.64796,0.89844,0.84173,1.11301,0.007228,0.007228,0.007228
44,5796.47,0.60566,0.75962,1.20468,0.85288,0.7741,0.85147,0.64838,0.90759,0.84555,1.1163,0.007162,0.007162,0.007162
45,5928.4,0.61364,0.75416,1.20407,0.8538,0.78427,0.85949,0.65612,0.89314,0.83101,1.10768,0.007096,0.007096,0.007096
46,6058.89,0.60449,0.74273,1.19786,0.86662,0.76597,0.85955,0.6572,0.89844,0.82666,1.10649,0.00703,0.00703,0.00703
47,6190.86,0.5975,0.74106,1.19485,0.86592,0.78189,0.8641,0.66327,0.87998,0.81364,1.09241,0.006964,0.006964,0.006964
48,6323.71,0.59366,0.73135,1.19194,0.85973,0.78343,0.86769,0.66706,0.87547,0.79972,1.09474,0.006898,0.006898,0.006898
49,6455.79,0.59217,0.72765,1.18623,0.8747,0.78597,0.87153,0.67344,0.87126,0.78847,1.08482,0.006832,0.006832,0.006832
50,6587.33,0.58464,0.71713,1.18477,0.87851,0.78751,0.87452,0.67343,0.87593,0.78376,1.08743,0.006766,0.006766,0.006766
51,6718.76,0.58781,0.70883,1.18317,0.86905,0.79248,0.87456,0.67728,0.85831,0.77566,1.07035,0.0067,0.0067,0.0067
52,6849.5,0.57689,0.702,1.17372,0.87194,0.79706,0.87444,0.68004,0.85138,0.76802,1.06251,0.006634,0.006634,0.006634
53,6979.4,0.57896,0.70451,1.17551,0.88452,0.7896,0.87717,0.6842,0.8486,0.76375,1.05836,0.006568,0.006568,0.006568
54,7109.21,0.56883,0.67855,1.16542,0.87996,0.79738,0.88045,0.68981,0.8346,0.75068,1.04302,0.006502,0.006502,0.006502
55,7238.88,0.5703,0.68647,1.16937,0.87666,0.7999,0.88303,0.69468,0.82541,0.7413,1.03607,0.006436,0.006436,0.006436
56,7369.05,0.56644,0.68441,1.16503,0.88016,0.81118,0.88668,0.69764,0.81727,0.72985,1.03149,0.00637,0.00637,0.00637
57,7499.7,0.56679,0.6692,1.1601,0.88226,0.80689,0.88451,0.69831,0.81815,0.72658,1.02802,0.006304,0.006304,0.006304
58,7629.36,0.55842,0.66647,1.15725,0.87152,0.81743,0.88815,0.70418,0.80655,0.71731,1.01884,0.006238,0.006238,0.006238
59,7758.95,0.56021,0.67018,1.15865,0.8734,0.81523,0.8879,0.70377,0.81023,0.71761,1.0224,0.006172,0.006172,0.006172
60,7888.43,0.55334,0.65996,1.15257,0.86814,0.82003,0.88922,0.70552,0.80613,0.71446,1.02349,0.006106,0.006106,0.006106
61,8018.22,0.55231,0.65598,1.15047,0.88948,0.81152,0.89165,0.70873,0.80267,0.70889,1.02108,0.00604,0.00604,0.00604
62,8148.17,0.55041,0.65059,1.14788,0.88278,0.81641,0.89306,0.71419,0.79097,0.69523,1.00927,0.005974,0.005974,0.005974
63,8278.52,0.53602,0.63318,1.13679,0.87587,0.83064,0.89619,0.71761,0.78375,0.68656,1.00605,0.005908,0.005908,0.005908
64,8407.88,0.54333,0.63775,1.1412,0.88019,0.83052,0.8992,0.72141,0.78182,0.6767,1.00355,0.005842,0.005842,0.005842
65,8537.29,0.54531,0.62863,1.14102,0.88093,0.83478,0.9002,0.72444,0.78137,0.67392,1.00297,0.005776,0.005776,0.005776
